*Dist.Code*,*Dist.Name*,*School Name*,*Enroll*,*Free*,*% Free*,*Re-duced*,*% Re-duced*,*Eligible*,*%Eligible*,County
1251,Rsu 57/Msad 57,Waterboro Elementary School,518,225,43.44,37,7.14,262,50.58,York
1254,Rsu 60/Msad 60,Berwick Elem Schools,658,230,34.95,64,9.73,294,44.68,York
1254,Rsu 60/Msad 60,Lebanon School,449,196,43.65,44,9.8,240,53.45,York
1254,Rsu 60/Msad 60,Noble High School,1097,433,39.47,107,9.75,540,49.23,York
1254,Rsu 60/Msad 60,Noble Middle School,488,189,38.73,55,11.27,244,50,York
1254,Rsu 60/Msad 60,North Berwick Elementary School,341,100,29.33,20,5.87,120,35.19,York
1148,Sanford School Department,Carl J Lamb School,523,296,56.6,41,7.84,337,64.44,York
1148,Sanford School Department,Lafayette School,134,93,69.4,6,4.48,99,73.88,York
1148,Sanford School Department,Margaret Chase Smith Sch.-Sanford,396,186,46.97,29,7.32,215,54.29,York
1148,Sanford School Department,Sanford High School,1074,440,40.97,84,7.82,524,48.79,York
1148,Sanford School Department,Sanford Jr High School,591,299,50.59,64,10.83,363,61.42,York
1148,Sanford School Department,Willard School,448,264,58.93,34,7.59,298,66.52,York
1401,St Thomas School,St Thomas School,146,10,6.85,5,3.42,15,10.27,York
1396,Sweetser Children'S Services,Belfast Cottage Staff Intensive,6,6,100,0,0,6,100,York
1396,Sweetser Children'S Services,Cape Cottage Staff Intensive,5,3,60,0,0,3,60,York
1396,Sweetser Children'S Services,East Staff Intensive,7,5,71.43,0,0,5,71.43,York
1396,Sweetser Children'S Services,Portland Adolescent Staff Intensive,8,7,87.5,0,0,7,87.5,York
1396,Sweetser Children'S Services,Saco Crisis Unit,12,8,66.67,0,0,8,66.67,York
1396,Sweetser Children'S Services,Saco Family Focus,6,3,50,0,0,3,50,York
1396,Sweetser Children'S Services,The School At Sweetser-Saco,66,56,84.85,0,0,56,84.85,York
1396,Sweetser Children'S Services,West Staff Intensive,8,6,75,0,0,6,75,York
1293,Wells-Ogunquit Csd,Wells Elementary School,469,92,19.62,30,6.4,122,26.01,York
1293,Wells-Ogunquit Csd,Wells High School,450,75,16.67,26,5.78,101,22.44,York
1293,Wells-Ogunquit Csd,Wells Junior High School,421,66,15.68,29,6.89,95,22.57,York
1191,York School Department,Coastal Ridge Elementary,314,37,11.78,15,4.78,52,16.56,York
1191,York School Department,Village Elementary School-York,308,34,11.04,12,3.9,46,14.94,York
1191,York School Department,York High School,628,43,6.85,17,2.71,60,9.55,York
1191,York School Department,York Middle School,580,40,6.9,20,3.45,60,10.34,York
